request_id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,request_hour,request_day,trip_duration_min,unmet_demand
1934,Airport,3,Trip Completed,12/7/2016 11:17,12/7/2016 12:23,11,Wednesday,66,0
2083,Airport,3,Trip Completed,12/7/2016 15:46,12/7/2016 16:40,15,Wednesday,54,0
2211,Airport,3,Trip Completed,12/7/2016 18:00,12/7/2016 18:28,18,Wednesday,28,0
3096,Airport,3,Trip Completed,7/13/2016 8:17,7/13/2016 9:22,8,Wednesday,65,0
3881,Airport,3,Trip Completed,7/13/2016 21:54,7/13/2016 22:51,21,Wednesday,57,0
5254,City,3,Trip Completed,7/14/2016 21:23,7/14/2016 22:25,21,Thursday,62,0
5434,City,3,Trip Completed,7/15/2016 2:41,7/15/2016 3:24,2,Friday,43,0
5916,City,3,Trip Completed,7/15/2016 10:00,7/15/2016 10:53,10,Friday,53,0
669,City,4,Trip Completed,11/7/2016 13:08,11/7/2016 13:49,13,Monday,41,0
1567,Airport,4,Trip Completed,12/7/2016 6:21,12/7/2016 7:10,6,Wednesday,49,0
1826,City,4,Trip Completed,12/7/2016 9:27,12/7/2016 10:27,9,Wednesday,60,0
2102,City,4,Trip Completed,12/7/2016 16:09,12/7/2016 17:01,16,Wednesday,52,0
2847,Airport,4,Trip Completed,7/13/2016 5:34,7/13/2016 6:09,5,Wednesday,35,0
3722,Airport,4,Trip Completed,7/13/2016 19:57,7/13/2016 20:32,19,Wednesday,35,0
4075,City,4,Trip Completed,7/14/2016 2:17,7/14/2016 3:21,2,Thursday,64,0
4686,City,4,Trip Completed,7/14/2016 13:01,7/14/2016 13:45,13,Thursday,44,0
5771,Airport,4,Trip Completed,7/15/2016 8:30,7/15/2016 9:37,8,Friday,67,0
6106,Airport,4,Trip Completed,7/15/2016 15:01,7/15/2016 15:47,15,Friday,46,0
312,City,5,Trip Completed,11/7/2016 7:27,11/7/2016 8:31,7,Monday,64,0
577,Airport,5,Trip Completed,11/7/2016 11:03,11/7/2016 12:01,11,Monday,58,0
1179,City,5,Trip Completed,11/7/2016 20:58,11/7/2016 21:45,20,Monday,47,0
1756,Airport,5,Trip Completed,12/7/2016 8:40,12/7/2016 9:23,8,Wednesday,43,0
2052,City,5,Trip Completed,12/7/2016 14:48,12/7/2016 15:50,14,Wednesday,62,0
2559,City,5,Trip Completed,12/7/2016 21:32,12/7/2016 22:29,21,Wednesday,57,0
3014,City,5,Trip Completed,7/13/2016 7:28,7/13/2016 8:29,7,Wednesday,61,0
3317,City,5,Trip Completed,7/13/2016 12:14,7/13/2016 12:46,12,Wednesday,32,0
4297,City,5,Trip Completed,7/14/2016 6:43,7/14/2016 7:49,6,Thursday,66,0
5857,Airport,5,Trip Completed,7/15/2016 9:08,7/15/2016 10:07,9,Friday,59,0
6690,Airport,5,Trip Completed,7/15/2016 22:41,7/15/2016 23:51,22,Friday,70,0
1517,Airport,6,Trip Completed,12/7/2016 5:45,12/7/2016 6:28,5,Wednesday,43,0
1999,Airport,6,Trip Completed,12/7/2016 13:02,12/7/2016 13:51,13,Wednesday,49,0
2960,Airport,6,Trip Completed,7/13/2016 6:50,7/13/2016 7:40,6,Wednesday,50,0
3882,City,6,Trip Completed,7/13/2016 21:53,7/13/2016 22:45,21,Wednesday,52,0
4081,Airport,6,Trip Completed,7/14/2016 2:37,7/14/2016 3:30,2,Thursday,53,0
4740,City,6,Trip Completed,7/14/2016 14:50,7/14/2016 15:38,14,Thursday,48,0
5270,City,6,Trip Completed,7/14/2016 21:33,7/14/2016 22:25,21,Thursday,52,0
6758,Airport,6,Trip Completed,7/15/2016 0:03,7/15/2016 1:07,0,Friday,64,0
5741,City,6,Trip Completed,7/15/2016 7:52,7/15/2016 8:38,7,Friday,46,0
6087,Airport,6,Trip Completed,7/15/2016 14:28,7/15/2016 15:33,14,Friday,65,0
1039,City,7,Trip Completed,11/7/2016 19:31,11/7/2016 20:41,19,Monday,70,0
1273,Airport,7,Trip Completed,11/7/2016 22:07,11/7/2016 23:12,22,Monday,65,0
2480,City,7,Trip Completed,12/7/2016 20:39,12/7/2016 21:28,20,Wednesday,49,0
4105,City,7,Trip Completed,7/14/2016 3:39,7/14/2016 4:39,3,Thursday,60,0
4509,City,7,Trip Completed,7/14/2016 9:11,7/14/2016 10:17,9,Thursday,66,0
4986,Airport,7,Trip Completed,7/14/2016 18:52,7/14/2016 19:50,18,Thursday,58,0
5898,City,7,Trip Completed,7/15/2016 9:50,7/15/2016 10:40,9,Friday,50,0
6142,Airport,7,Trip Completed,7/15/2016 15:50,7/15/2016 16:36,15,Friday,46,0
380,Airport,8,Trip Completed,11/7/2016 8:18,11/7/2016 9:18,8,Monday,60,0
1050,Airport,8,Trip Completed,11/7/2016 19:39,11/7/2016 20:30,19,Monday,51,0
1769,City,8,Trip Completed,12/7/2016 8:57,12/7/2016 9:24,8,Wednesday,27,0
2520,City,8,Trip Completed,12/7/2016 21:05,12/7/2016 22:20,21,Wednesday,75,0
3265,Airport,8,Trip Completed,7/13/2016 10:22,7/13/2016 11:07,10,Wednesday,45,0
4648,City,8,Trip Completed,7/14/2016 11:55,7/14/2016 12:59,11,Thursday,64,0
449,Airport,9,Trip Completed,11/7/2016 9:08,11/7/2016 9:52,9,Monday,44,0
846,Airport,9,Trip Completed,11/7/2016 17:46,11/7/2016 18:52,17,Monday,66,0
1346,Airport,9,Trip Completed,11/7/2016 23:39,12/7/2016 0:23,23,Monday,41804,0
1474,Airport,9,Trip Completed,12/7/2016 5:13,12/7/2016 5:56,5,Wednesday,43,0
2240,City,9,Trip Completed,12/7/2016 18:20,12/7/2016 18:54,18,Wednesday,34,0
3072,Airport,9,Trip Completed,7/13/2016 8:04,7/13/2016 8:36,8,Wednesday,32,0
3459,Airport,9,Trip Completed,7/13/2016 17:03,7/13/2016 17:31,17,Wednesday,28,0
3774,Airport,9,Trip Completed,7/13/2016 20:41,7/13/2016 21:27,20,Wednesday,46,0
4023,City,9,Trip Completed,7/13/2016 23:58,7/14/2016 0:58,23,Wednesday,60,0
4117,City,9,Trip Completed,7/14/2016 4:21,7/14/2016 5:07,4,Thursday,46,0
4880,Airport,9,Trip Completed,7/14/2016 17:58,7/14/2016 19:02,17,Thursday,64,0
5568,Airport,9,Trip Completed,7/15/2016 5:47,7/15/2016 6:25,5,Friday,38,0
5994,Airport,9,Trip Completed,7/15/2016 11:51,7/15/2016 12:32,11,Friday,41,0
1809,Airport,10,Trip Completed,12/7/2016 9:13,12/7/2016 10:01,9,Wednesday,48,0
2064,Airport,10,Trip Completed,12/7/2016 15:08,12/7/2016 16:14,15,Wednesday,66,0
3210,City,10,Trip Completed,7/13/2016 9:47,7/13/2016 10:52,9,Wednesday,65,0
4350,City,10,Trip Completed,7/14/2016 7:24,7/14/2016 8:22,7,Thursday,58,0
4713,City,10,Trip Completed,7/14/2016 13:31,7/14/2016 14:10,13,Thursday,39,0
5629,Airport,10,Trip Completed,7/15/2016 6:33,7/15/2016 7:19,6,Friday,46,0
6157,Airport,10,Trip Completed,7/15/2016 16:32,7/15/2016 17:44,16,Friday,72,0
2030,City,11,Trip Completed,12/7/2016 14:11,12/7/2016 15:02,14,Wednesday,51,0
3226,City,11,Trip Completed,7/13/2016 10:00,7/13/2016 11:02,10,Wednesday,62,0
3353,City,11,Trip Completed,7/13/2016 13:29,7/13/2016 14:09,13,Wednesday,40,0
4293,City,11,Trip Completed,7/14/2016 6:42,7/14/2016 7:12,6,Thursday,30,0
4936,City,11,Trip Completed,7/14/2016 18:22,7/14/2016 19:14,18,Thursday,52,0
5661,Airport,11,Trip Completed,7/15/2016 7:08,7/15/2016 7:59,7,Friday,51,0
5778,City,11,Trip Completed,7/15/2016 8:22,7/15/2016 9:13,8,Friday,51,0
6425,Airport,11,Trip Completed,7/15/2016 19:46,7/15/2016 20:26,19,Friday,40,0
45,Airport,12,Trip Completed,11/7/2016 3:17,11/7/2016 4:09,3,Monday,52,0
264,City,12,Trip Completed,11/7/2016 6:51,11/7/2016 7:40,6,Monday,49,0
1183,City,12,Trip Completed,11/7/2016 21:05,11/7/2016 21:38,21,Monday,33,0
1536,Airport,12,Trip Completed,12/7/2016 5:59,12/7/2016 6:59,5,Wednesday,60,0
2437,City,12,Trip Completed,12/7/2016 20:18,12/7/2016 21:26,20,Wednesday,68,0
2641,Airport,12,Trip Completed,12/7/2016 22:28,12/7/2016 23:05,22,Wednesday,37,0
4077,Airport,12,Trip Completed,7/14/2016 2:14,7/14/2016 3:13,2,Thursday,59,0
4610,City,12,Trip Completed,7/14/2016 10:35,7/14/2016 11:39,10,Thursday,64,0
5066,Airport,12,Trip Completed,7/14/2016 19:31,7/14/2016 20:14,19,Thursday,43,0
5666,Airport,12,Trip Completed,7/15/2016 7:04,7/15/2016 8:12,7,Friday,68,0
5923,City,12,Trip Completed,7/15/2016 10:07,7/15/2016 10:50,10,Friday,43,0
6367,City,12,Trip Completed,7/15/2016 19:04,7/15/2016 19:46,19,Friday,42,0
155,City,13,Trip Completed,11/7/2016 5:32,11/7/2016 6:28,5,Monday,56,0
310,Airport,13,Trip Completed,11/7/2016 7:24,11/7/2016 8:28,7,Monday,64,0
607,City,13,Trip Completed,11/7/2016 11:51,11/7/2016 12:42,11,Monday,51,0
1012,City,13,Trip Completed,11/7/2016 19:15,11/7/2016 19:57,19,Monday,42,0
1696,Airport,13,Trip Completed,12/7/2016 8:01,12/7/2016 8:42,8,Wednesday,41,0
3076,City,13,Trip Completed,7/13/2016 8:09,7/13/2016 9:12,8,Wednesday,63,0
4198,Airport,13,Trip Completed,7/14/2016 5:32,7/14/2016 6:45,5,Thursday,73,0
4627,City,13,Trip Completed,7/14/2016 11:13,7/14/2016 12:00,11,Thursday,47,0
5289,City,13,Trip Completed,7/14/2016 21:43,7/14/2016 22:24,21,Thursday,41,0
5495,Airport,13,Trip Completed,7/15/2016 5:00,7/15/2016 6:02,5,Friday,62,0
6656,Airport,13,Trip Completed,7/15/2016 22:08,7/15/2016 22:41,22,Friday,33,0
139,Airport,14,Trip Completed,11/7/2016 5:21,11/7/2016 6:09,5,Monday,48,0
215,City,14,Trip Completed,11/7/2016 6:15,11/7/2016 7:07,6,Monday,52,0
1816,City,14,Trip Completed,12/7/2016 9:24,12/7/2016 10:07,9,Wednesday,43,0
2505,Airport,14,Trip Completed,12/7/2016 21:03,12/7/2016 22:14,21,Wednesday,71,0
3346,City,14,Trip Completed,7/13/2016 13:01,7/13/2016 13:55,13,Wednesday,54,0
5294,City,14,Trip Completed,7/14/2016 21:45,7/14/2016 22:16,21,Thursday,31,0
6226,Airport,14,Trip Completed,7/15/2016 17:34,7/15/2016 18:33,17,Friday,59,0
6733,Airport,14,Trip Completed,7/15/2016 23:32,7/16/2016 0:37,23,Friday,65,0
1027,Airport,15,Trip Completed,11/7/2016 19:18,11/7/2016 20:24,19,Monday,66,0
2675,Airport,15,Trip Completed,12/7/2016 23:43,7/13/2016 0:35,23,Wednesday,-213068,0
3200,City,15,Trip Completed,7/13/2016 9:39,7/13/2016 10:30,9,Wednesday,51,0
3865,City,15,Trip Completed,7/13/2016 21:52,7/13/2016 22:21,21,Wednesday,29,0
4468,City,15,Trip Completed,7/14/2016 8:42,7/14/2016 9:22,8,Thursday,40,0
5163,Airport,15,Trip Completed,7/14/2016 20:34,7/14/2016 21:05,20,Thursday,31,0
6009,City,15,Trip Completed,7/15/2016 12:22,7/15/2016 13:25,12,Friday,63,0
6448,Airport,15,Trip Completed,7/15/2016 20:02,7/15/2016 20:40,20,Friday,38,0
591,City,16,Trip Completed,11/7/2016 11:25,11/7/2016 12:31,11,Monday,66,0
709,City,16,Trip Completed,11/7/2016 14:16,11/7/2016 15:03,14,Monday,47,0
1167,Airport,16,Trip Completed,11/7/2016 20:50,11/7/2016 21:52,20,Monday,62,0
2661,Airport,16,Trip Completed,12/7/2016 23:23,7/13/2016 0:27,23,Wednesday,-213056,0
2808,City,16,Trip Completed,7/13/2016 5:05,7/13/2016 5:56,5,Wednesday,51,0
3258,Airport,16,Trip Completed,7/13/2016 10:12,7/13/2016 10:45,10,Wednesday,33,0
3413,Airport,16,Trip Completed,7/13/2016 15:32,7/13/2016 16:45,15,Wednesday,73,0
3939,Airport,16,Trip Completed,7/13/2016 22:26,7/13/2016 22:55,22,Wednesday,29,0
4125,City,16,Trip Completed,7/14/2016 4:37,7/14/2016 5:46,4,Thursday,69,0
4457,City,16,Trip Completed,7/14/2016 8:36,7/14/2016 9:19,8,Thursday,43,0
4728,City,16,Trip Completed,7/14/2016 14:04,7/14/2016 15:06,14,Thursday,62,0
5347,Airport,16,Trip Completed,7/14/2016 22:51,7/14/2016 23:53,22,Thursday,62,0
6147,City,16,Trip Completed,7/15/2016 16:11,7/15/2016 17:30,16,Friday,79,0
6496,Airport,16,Trip Completed,7/15/2016 20:33,7/15/2016 21:32,20,Friday,59,0
634,City,17,Trip Completed,11/7/2016 12:25,11/7/2016 13:06,12,Monday,41,0
939,Airport,17,Trip Completed,11/7/2016 18:25,11/7/2016 19:26,18,Monday,61,0
2628,Airport,17,Trip Completed,12/7/2016 22:10,12/7/2016 23:25,22,Wednesday,75,0
3021,City,17,Trip Completed,7/13/2016 7:33,7/13/2016 8:26,7,Wednesday,53,0
4743,City,17,Trip Completed,7/14/2016 14:54,7/14/2016 15:39,14,Thursday,45,0
4981,City,17,Trip Completed,7/14/2016 18:47,7/14/2016 19:43,18,Thursday,56,0
5367,Airport,17,Trip Completed,7/14/2016 23:35,7/15/2016 0:25,23,Thursday,50,0
5471,Airport,17,Trip Completed,7/15/2016 4:48,7/15/2016 5:47,4,Friday,59,0
5988,Airport,17,Trip Completed,7/15/2016 11:48,7/15/2016 12:55,11,Friday,67,0
6477,Airport,17,Trip Completed,7/15/2016 20:21,7/15/2016 21:00,20,Friday,39,0
499,City,18,Trip Completed,11/7/2016 9:39,11/7/2016 10:16,9,Monday,37,0
1147,Airport,18,Trip Completed,11/7/2016 20:42,11/7/2016 21:18,20,Monday,36,0
1410,Airport,18,Trip Completed,12/7/2016 3:14,12/7/2016 4:27,3,Wednesday,73,0
1804,Airport,18,Trip Completed,12/7/2016 9:12,12/7/2016 9:57,9,Wednesday,45,0
1949,Airport,18,Trip Completed,12/7/2016 11:32,12/7/2016 12:13,11,Wednesday,41,0
2713,City,18,Trip Completed,7/13/2016 1:46,7/13/2016 2:37,1,Wednesday,51,0
2845,City,18,Trip Completed,7/13/2016 5:28,7/13/2016 6:10,5,Wednesday,42,0
3943,Airport,18,Trip Completed,7/13/2016 22:35,7/13/2016 23:33,22,Wednesday,58,0
4792,City,18,Trip Completed,7/14/2016 16:47,7/14/2016 17:34,16,Thursday,47,0
5207,Airport,18,Trip Completed,7/14/2016 20:57,7/14/2016 21:56,20,Thursday,59,0
5890,City,18,Trip Completed,7/15/2016 9:43,7/15/2016 10:55,9,Friday,72,0
494,City,19,Trip Completed,11/7/2016 9:36,11/7/2016 10:02,9,Monday,26,0
1485,City,19,Trip Completed,12/7/2016 5:21,12/7/2016 6:35,5,Wednesday,74,0
2042,City,19,Trip Completed,12/7/2016 14:30,12/7/2016 15:09,14,Wednesday,39,0
2561,Airport,19,Trip Completed,12/7/2016 21:29,12/7/2016 22:44,21,Wednesday,75,0
3813,Airport,19,Trip Completed,7/13/2016 21:06,7/13/2016 21:46,21,Wednesday,40,0
4260,Airport,19,Trip Completed,7/14/2016 6:11,7/14/2016 6:59,6,Thursday,48,0
4395,City,19,Trip Completed,7/14/2016 8:00,7/14/2016 8:54,8,Thursday,54,0
5919,City,19,Trip Completed,7/15/2016 10:03,7/15/2016 10:59,10,Friday,56,0
6002,Airport,19,Trip Completed,7/15/2016 12:04,7/15/2016 12:53,12,Friday,49,0
468,City,20,Trip Completed,11/7/2016 9:20,11/7/2016 10:05,9,Monday,45,0
693,Airport,20,Trip Completed,11/7/2016 13:51,11/7/2016 15:01,13,Monday,70,0
1178,City,20,Trip Completed,11/7/2016 21:05,11/7/2016 22:06,21,Monday,61,0
2103,City,20,Trip Completed,12/7/2016 16:08,12/7/2016 17:18,16,Wednesday,70,0
2292,Airport,20,Trip Completed,12/7/2016 18:46,12/7/2016 19:23,18,Wednesday,37,0
3339,City,20,Trip Completed,7/13/2016 12:40,7/13/2016 13:30,12,Wednesday,50,0
3694,City,20,Trip Completed,7/13/2016 19:33,7/13/2016 20:35,19,Wednesday,62,0
4469,City,20,Trip Completed,7/14/2016 8:45,7/14/2016 9:48,8,Thursday,63,0
6432,City,20,Trip Completed,7/15/2016 19:50,7/15/2016 20:30,19,Friday,40,0
1895,City,21,Trip Completed,12/7/2016 10:20,12/7/2016 10:52,10,Wednesday,32,0
1981,Airport,21,Trip Completed,12/7/2016 12:23,12/7/2016 12:56,12,Wednesday,33,0
3744,Airport,21,Trip Completed,7/13/2016 20:28,7/13/2016 21:22,20,Wednesday,54,0
4433,Airport,21,Trip Completed,7/14/2016 8:26,7/14/2016 9:12,8,Thursday,46,0
6039,Airport,21,Trip Completed,7/15/2016 13:11,7/15/2016 13:38,13,Friday,27,0
6543,City,21,Trip Completed,7/15/2016 20:54,7/15/2016 22:12,20,Friday,78,0
110,City,22,Trip Completed,11/7/2016 5:05,11/7/2016 6:06,5,Monday,61,0
362,City,22,Trip Completed,11/7/2016 8:01,11/7/2016 9:18,8,Monday,77,0
666,Airport,22,Trip Completed,11/7/2016 13:02,11/7/2016 13:45,13,Monday,43,0
926,City,22,Trip Completed,11/7/2016 18:28,11/7/2016 19:34,18,Monday,66,0
1180,Airport,22,Trip Completed,11/7/2016 21:01,11/7/2016 22:14,21,Monday,73,0
1900,City,22,Trip Completed,12/7/2016 10:32,12/7/2016 11:42,10,Wednesday,70,0
2506,City,22,Trip Completed,12/7/2016 21:01,12/7/2016 21:38,21,Wednesday,37,0
3064,City,22,Trip Completed,7/13/2016 8:02,7/13/2016 8:58,8,Wednesday,56,0
3327,Airport,22,Trip Completed,7/13/2016 12:24,7/13/2016 13:23,12,Wednesday,59,0
3601,City,22,Trip Completed,7/13/2016 18:39,7/13/2016 19:29,18,Wednesday,50,0
4768,Airport,22,Trip Completed,7/14/2016 15:39,7/14/2016 16:49,15,Thursday,70,0
5142,City,22,Trip Completed,7/14/2016 20:17,7/14/2016 20:48,20,Thursday,31,0
5366,Airport,22,Trip Completed,7/14/2016 23:27,7/15/2016 0:19,23,Thursday,52,0
5575,City,22,Trip Completed,7/15/2016 5:53,7/15/2016 6:50,5,Friday,57,0
5902,City,22,Trip Completed,7/15/2016 9:52,7/15/2016 10:37,9,Friday,45,0
6694,Airport,22,Trip Completed,7/15/2016 22:45,7/15/2016 23:17,22,Friday,32,0
523,Airport,23,Trip Completed,11/7/2016 9:48,11/7/2016 10:37,9,Monday,49,0
747,City,23,Trip Completed,11/7/2016 15:53,11/7/2016 16:43,15,Monday,50,0
1371,Airport,23,Trip Completed,12/7/2016 0:22,12/7/2016 1:33,0,Wednesday,71,0
1553,City,23,Trip Completed,12/7/2016 6:09,12/7/2016 7:09,6,Wednesday,60,0
1692,Airport,23,Trip Completed,12/7/2016 7:52,12/7/2016 9:01,7,Wednesday,69,0
2114,City,23,Trip Completed,12/7/2016 16:36,12/7/2016 17:21,16,Wednesday,45,0
2742,City,23,Trip Completed,7/13/2016 3:07,7/13/2016 3:51,3,Wednesday,44,0
4273,City,23,Trip Completed,7/14/2016 6:17,7/14/2016 7:02,6,Thursday,45,0
4668,City,23,Trip Completed,7/14/2016 12:25,7/14/2016 13:34,12,Thursday,69,0
5425,City,23,Trip Completed,7/15/2016 2:23,7/15/2016 3:08,2,Friday,45,0
5488,City,23,Trip Completed,7/15/2016 4:53,7/15/2016 6:00,4,Friday,67,0
5781,City,23,Trip Completed,7/15/2016 8:35,7/15/2016 9:42,8,Friday,67,0
5966,Airport,23,Trip Completed,7/15/2016 10:54,7/15/2016 11:58,10,Friday,64,0
6122,City,23,Trip Completed,7/15/2016 15:26,7/15/2016 16:29,15,Friday,63,0
357,Airport,24,Trip Completed,11/7/2016 8:00,11/7/2016 9:08,8,Monday,68,0
1068,City,24,Trip Completed,11/7/2016 19:52,11/7/2016 20:48,19,Monday,56,0
2689,Airport,24,Trip Completed,7/13/2016 0:34,7/13/2016 1:49,0,Wednesday,75,0
2791,City,24,Trip Completed,7/13/2016 4:56,7/13/2016 5:33,4,Wednesday,37,0
3321,City,24,Trip Completed,7/13/2016 12:23,7/13/2016 13:25,12,Wednesday,62,0
3423,Airport,24,Trip Completed,7/13/2016 15:52,7/13/2016 16:50,15,Wednesday,58,0
3761,Airport,24,Trip Completed,7/13/2016 20:35,7/13/2016 21:39,20,Wednesday,64,0
4140,City,24,Trip Completed,7/14/2016 4:48,7/14/2016 6:05,4,Thursday,77,0
4656,City,24,Trip Completed,7/14/2016 12:06,7/14/2016 12:49,12,Thursday,43,0
4931,Airport,24,Trip Completed,7/14/2016 18:21,7/14/2016 18:54,18,Thursday,33,0
5268,City,24,Trip Completed,7/14/2016 21:29,7/14/2016 22:30,21,Thursday,61,0
5811,City,24,Trip Completed,7/15/2016 8:46,7/15/2016 9:26,8,Friday,40,0
6139,Airport,24,Trip Completed,7/15/2016 15:45,7/15/2016 16:40,15,Friday,55,0
6333,Airport,24,Trip Completed,7/15/2016 18:41,7/15/2016 19:53,18,Friday,72,0
773,City,25,Trip Completed,11/7/2016 16:23,11/7/2016 17:21,16,Monday,58,0
1123,City,25,Trip Completed,11/7/2016 20:20,11/7/2016 21:18,20,Monday,58,0
2667,Airport,25,Trip Completed,12/7/2016 23:35,7/13/2016 0:40,23,Wednesday,-213055,0
2833,City,25,Trip Completed,7/13/2016 5:27,7/13/2016 6:19,5,Wednesday,52,0
3396,City,25,Trip Completed,7/13/2016 14:59,7/13/2016 15:57,14,Wednesday,58,0
3590,City,25,Trip Completed,7/13/2016 18:31,7/13/2016 19:31,18,Wednesday,60,0
3762,City,25,Trip Completed,7/13/2016 20:38,7/13/2016 21:21,20,Wednesday,43,0
4566,City,25,Trip Completed,7/14/2016 9:48,7/14/2016 10:22,9,Thursday,34,0
4862,City,25,Trip Completed,7/14/2016 17:37,7/14/2016 18:41,17,Thursday,64,0
5564,Airport,25,Trip Completed,7/15/2016 5:41,7/15/2016 6:53,5,Friday,72,0
6187,City,25,Trip Completed,7/15/2016 17:11,7/15/2016 18:08,17,Friday,57,0
6642,City,25,Trip Completed,7/15/2016 22:07,7/15/2016 22:54,22,Friday,47,0
322,City,26,Trip Completed,11/7/2016 7:31,11/7/2016 8:10,7,Monday,39,0
793,City,26,Trip Completed,11/7/2016 17:04,11/7/2016 18:06,17,Monday,62,0
898,Airport,26,Trip Completed,11/7/2016 18:14,11/7/2016 19:09,18,Monday,55,0
1258,City,26,Trip Completed,11/7/2016 21:51,11/7/2016 23:00,21,Monday,69,0
2832,City,26,Trip Completed,7/13/2016 5:20,7/13/2016 6:14,5,Wednesday,54,0
3139,City,26,Trip Completed,7/13/2016 8:54,7/13/2016 9:22,8,Wednesday,28,0
3438,City,26,Trip Completed,7/13/2016 16:12,7/13/2016 17:13,16,Wednesday,61,0
3966,Airport,26,Trip Completed,7/13/2016 22:50,7/13/2016 23:27,22,Wednesday,37,0
6401,Airport,26,Trip Completed,7/15/2016 19:33,7/15/2016 20:16,19,Friday,43,0
204,City,27,Trip Completed,11/7/2016 6:04,11/7/2016 6:44,6,Monday,40,0
632,Airport,27,Trip Completed,11/7/2016 12:20,11/7/2016 13:10,12,Monday,50,0
763,City,27,Trip Completed,11/7/2016 16:19,11/7/2016 17:25,16,Monday,66,0
1786,Airport,27,Trip Completed,12/7/2016 9:03,12/7/2016 9:58,9,Wednesday,55,0
1968,City,27,Trip Completed,12/7/2016 12:10,12/7/2016 12:49,12,Wednesday,39,0
2088,Airport,27,Trip Completed,12/7/2016 15:51,12/7/2016 17:02,15,Wednesday,71,0
2473,Airport,27,Trip Completed,12/7/2016 20:43,12/7/2016 21:20,20,Wednesday,37,0
2869,Airport,27,Trip Completed,7/13/2016 5:50,7/13/2016 6:27,5,Wednesday,37,0
3742,Airport,27,Trip Completed,7/13/2016 20:24,7/13/2016 20:48,20,Wednesday,24,0
4440,Airport,27,Trip Completed,7/14/2016 8:26,7/14/2016 9:00,8,Thursday,34,0
5234,City,27,Trip Completed,7/14/2016 21:09,7/14/2016 21:52,21,Thursday,43,0
6354,Airport,27,Trip Completed,7/15/2016 18:59,7/15/2016 19:35,18,Friday,36,0
6638,City,27,Trip Completed,7/15/2016 21:59,7/15/2016 23:13,21,Friday,74,0
84,City,28,Trip Completed,11/7/2016 4:50,11/7/2016 5:26,4,Monday,36,0
1199,City,28,Trip Completed,11/7/2016 21:17,11/7/2016 21:53,21,Monday,36,0
1676,Airport,28,Trip Completed,12/7/2016 7:44,12/7/2016 8:40,7,Wednesday,56,0
2774,City,28,Trip Completed,7/13/2016 4:33,7/13/2016 5:13,4,Wednesday,40,0
3220,Airport,28,Trip Completed,7/13/2016 9:51,7/13/2016 10:24,9,Wednesday,33,0
3718,Airport,28,Trip Completed,7/13/2016 19:56,7/13/2016 20:47,19,Wednesday,51,0
4904,Airport,28,Trip Completed,7/14/2016 18:02,7/14/2016 18:58,18,Thursday,56,0
6527,Airport,28,Trip Completed,7/15/2016 20:54,7/15/2016 21:53,20,Friday,59,0
6710,City,28,Trip Completed,7/15/2016 23:02,7/16/2016 0:12,23,Friday,70,0
1584,Airport,29,Trip Completed,12/7/2016 6:26,12/7/2016 7:18,6,Wednesday,52,0
1966,Airport,29,Trip Completed,12/7/2016 12:05,12/7/2016 13:12,12,Wednesday,67,0
2827,City,29,Trip Completed,7/13/2016 5:18,7/13/2016 6:18,5,Wednesday,60,0
2945,Airport,29,Trip Completed,7/13/2016 6:34,7/13/2016 7:28,6,Wednesday,54,0
